"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 성동구 금호동3가","1331","1331","0000","두산","전세","79.0800","202604","28","50,000","0","15","1994","동호로 100","202605~202805","갱신","-","45,930","0","아파트"
"2","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","월세","59.8800","202604","28","70,000","80","4","2016","매봉길 50","202607~202807","신규","-","","","아파트"
"3","서울특별시 강남구 삼성동","37","0037","0000","호산프라자","전세","28.8000","202604","28","22,000","0","6","1997","선릉로 604","202606~202806","신규","-","","","아파트"
"4","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","33.9588","202604","28","13,533","62","16","2022","원효로97길 15","202606~202806","갱신","-","13,533","58","아파트"
"5","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","33.9588","202604","28","9,685","66","10","2022","원효로97길 15","202606~202806","갱신","-","9,685","63","아파트"
"6","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","43.9656","202604","28","17,344","79","4","2022","원효로97길 15","202606~202806","갱신","-","17,344","75","아파트"
"7","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","33.9588","202604","28","13,533","62","22","2022","원효로97길 15","202606~202806","갱신","-","13,533","58","아파트"
"8","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","33.9588","202604","28","13,533","62","15","2022","원효로97길 15","202606~202806","갱신","-","13,533","58","아파트"
"9","서울특별시 강남구 세곡동","516","0516","0000","세곡리엔파크(3단지)","전세","84.9600","202604","28","57,018","0","7","2011","헌릉로590길 11","202605~202807","신규","-","","","아파트"
"10","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","33.9588","202604","28","13,533","62","24","2022","원효로97길 15","202606~202806","갱신","-","13,533","58","아파트"
"11","서울특별시 강남구 압구정동","490","0490","0000","한양1차(영동한양)","월세","63.8700","202604","28","5,000","205","12","1977","압구정로 321","202606~202805","갱신","-","5,000","165","아파트"
"12","서울특별시 강남구 개포동","654","0654","0000","현대2","월세","84.8100","202604","28","80,000","38","7","1986","언주로 107","202605~202805","갱신","-","70,000","0","아파트"
"13","서울특별시 용산구 원효로1가","134","0134","0000","용산원효루미니","월세","33.9588","202604","28","13,533","62","19","2022","원효로97길 15","202606~202806","갱신","-","13,533","58","아파트"
"14","서울특별시 강남구 압구정동","369-1","0369","0001","현대2차(10,11,20,23,24,25동)","전세","196.8400","202604","28","171,600","0","3","1976","압구정로29길 71","202607~202807","갱신","-","163,500","0","아파트"
"15","서울특별시 용산구 보광동","151","0151","0000","리버빌(삼성)","월세","59.7000","202604","28","5,000","170","12","2000","보광로5길 40","202605~202805","신규","-","","","아파트"
"16","서울특별시 강남구 역삼동","653-4","0653","0004","원에디션강남","월세","38.1534","202604","28","50,000","75","8","2024","언주로 563","202606~202806","신규","-","","","아파트"
"17","서울특별시 강남구 논현동","79-5","0079","0005","삼성빌라트","전세","120.9800","202604","28","58,100","0","5","1998","학동로31길 29","202604~202804","갱신","-","51,100","0","아파트"
"18","서울특별시 종로구 효제동","126-2","0126","0002","이지마루종로","월세","19.3100","202604","28","2,000","120","9","2021","김상옥로 55","202604~202704","신규","-","","","아파트"
"19","서울특별시 강남구 대치동","506","0506","0000","선경1차(1동-7동)","월세","136.6800","202604","28","70,000","340","12","1983","삼성로 151","202607~202807","신규","-","","","아파트"
"20","서울특별시 강남구 도곡동","934-10","0934","0010","도곡우성아파트","월세","84.8300","202604","28","20,000","220","13","1986","남부순환로363길 49","202606~202806","갱신","-","10,000","240","아파트"
"21","서울특별시 성동구 하왕십리동","1071","1071","0000","왕십리자이","전세","84.9900","202604","28","90,000","0","19","2017","난계로 100","202606~202806","신규","-","","","아파트"
"22","서울특별시 강남구 압구정동","397","0397","0000","미성2차","전세","118.6300","202604","28","130,000","0","15","1987","압구정로 113","202605~202901","갱신","-","110,000","0","아파트"
"23","서울특별시 성동구 마장동","817","0817","0000","왕십리삼성아파트","전세","59.7600","202604","28","60,000","0","16","1996","마장로 271","202608~202808","신규","-","","","아파트"
"24","서울특별시 강남구 역삼동","755-4","0755","0004","e-편한세상","전세","59.6060","202604","28","89,200","0","11","2005","선릉로69길 20","202606~202806","갱신","사용","85,000","0","아파트"
"25","서울특별시 중구 입정동","280","0280","0000","힐스테이트세운센트럴2단지","월세","49.9753","202604","28","20,000","220","6","2023","을지로15길 32","202606~202712","신규","-","","","아파트"
"26","서울특별시 강남구 압구정동","369-1","0369","0001","현대1차(12,13,21,22,31,32,33동)","전세","196.2100","202604","28","260,000","0","12","1976","압구정로29길 71","202610~202810","신규","-","","","아파트"
"27","서울특별시 성동구 행당동","347","0347","0000","대림e-편한세상","월세","114.9400","202604","28","30,000","200","4","2000","행당로 79","202608~202807","갱신","-","5,000","300","아파트"
"28","서울특별시 성동구 금호동2가","1","0001","0000","신금호파크자이","전세","84.9800","202604","28","95,000","0","2","2016","금호로 173","202606~202806","신규","-","","","아파트"
"29","서울특별시 성동구 성수동1가","723","0723","0000","서울숲아이파크리버포레2차","전세","84.9612","202604","28","157,000","0","23","2025","왕십리로 135","202605~202805","신규","-","","","아파트"
"30","서울특별시 성동구 금호동4가","1553","1553","0000","힐스테이트서울숲리버","전세","84.8800","202604","28","114,000","0","10","2018","독서당로 344","202606~202806","갱신","사용","110,000","0","아파트"
"31","서울특별시 강남구 일원동","743","0743","0000","디에이치자이개포","전세","84.7500","202604","28","150,000","0","11","2021","영동대로 22","202606~202806","갱신","사용","145,000","0","아파트"
"32","서울특별시 강남구 자곡동","602","0602","0000","강남자곡아이파크","월세","74.9700","202604","28","68,000","20","1","2014","자곡로 175","202605~202805","갱신","사용","65,000","20","아파트"
"33","서울특별시 강남구 자곡동","611","0611","0000","래미안강남힐즈","월세","101.9400","202604","28","50,000","280","12","2014","자곡로 101","202608~202808","신규","-","","","아파트"
"34","서울특별시 강남구 역삼동","727-2","0727","0002","대명벨리온","월세","17.6840","202604","28","10,000","55","4","2012","역삼로25길 27","202605~202805","신규","-","","","아파트"
"35","서울특별시 중구 묵정동","35","0035","0000","힐스테이트남산","전세","39.7600","202604","28","46,200","0","4","2024","퇴계로46길 26","202604~202804","갱신","-","44,000","0","아파트"
