행정동명,카페,음식점,편의점,마트,약국,병원,여가시설,운동시설,학원,미용실,세탁소,지하철역
가락1동,23,90,13,18,9,18,0,1,26,12,6,0.0
가락2동,50,104,18,22,18,38,29,15,125,68,15,0.0
가락본동,76,264,35,21,20,37,118,16,50,49,11,0.0
가리봉동,9,110,8,38,6,7,43,2,5,35,4,0.0
가산동,288,537,143,56,28,54,45,38,26,70,23,0.0
가양1동,242,631,69,31,28,76,41,42,51,127,14,0.0
가양2동,8,24,6,4,8,19,4,8,7,18,6,0.0
가양3동,7,19,10,5,2,5,0,1,10,12,4,0.0
가회동,62,65,8,13,1,7,3,3,9,6,1,0.0
갈현1동,45,193,19,16,10,26,41,9,38,53,10,0.0
갈현2동,35,149,23,20,14,12,32,9,112,75,13,0.0
강일동,20,31,18,23,12,19,4,6,86,30,6,0.0
개봉1동,37,98,19,29,13,27,22,8,35,76,6,0.0
개봉2동,30,54,19,16,8,30,12,7,62,50,7,0.0
개봉3동,24,74,13,22,8,10,11,2,38,53,7,0.0
개포1동,2,5,1,5,1,2,0,0,11,6,3,0.0
개포2동,22,60,14,15,13,35,9,7,93,38,14,0.0
개포3동,11,31,6,3,8,14,1,3,24,11,5,0.0
개포4동,37,90,23,17,11,20,20,10,54,40,14,0.0
거여1동,17,58,9,9,2,9,18,3,23,36,6,0.0
거여2동,19,57,10,11,15,25,13,10,47,34,7,0.0
고덕1동,15,35,9,11,2,8,5,3,70,28,3,0.0
고덕2동,46,82,15,16,12,24,10,7,53,44,10,0.0
고척1동,41,114,20,32,13,20,27,8,48,44,7,0.0
고척2동,23,90,20,20,11,15,20,9,71,60,11,0.0
공덕동,64,199,22,29,17,27,20,15,74,63,15,0.0
공릉1동,98,231,38,24,24,42,34,9,40,99,10,0.0
공릉2동,74,142,33,26,11,22,29,18,92,68,7,0.0
공항동,46,146,42,23,13,13,28,13,83,42,9,0.0
광장동,48,74,21,18,9,18,7,12,85,43,9,0.0
광희동,95,260,44,62,15,21,21,15,11,25,6,0.0
교남동,24,22,10,2,9,9,2,1,18,11,1,0.0
구로1동,13,29,9,10,5,5,2,4,31,16,4,0.0
구로2동,45,273,34,64,32,25,41,7,20,80,9,0.0
구로3동,148,371,61,28,18,47,41,24,44,53,13,0.0
구로4동,27,192,19,40,19,33,45,4,23,58,4,0.0
구로5동,79,246,29,25,13,19,42,13,37,38,12,0.0
구산동,25,47,18,16,8,14,1,2,70,58,13,0.0
구의1동,49,188,19,18,10,13,52,14,43,62,13,0.0
구의2동,45,116,22,13,11,23,16,9,42,41,8,0.0
구의3동,60,129,30,26,18,35,27,29,151,61,11,0.0
군자동,57,179,28,19,12,25,25,12,34,53,12,0.0
금호1가동,15,23,5,9,6,9,4,3,40,19,4,0.0
금호2.3가동,21,102,15,14,10,19,10,9,37,46,10,0.0
금호4가동,16,53,6,7,7,14,10,3,29,25,4,0.0
길동,74,337,42,43,38,61,59,24,69,123,13,0.0
길음1동,27,67,7,18,14,27,9,7,100,43,8,0.0
길음2동,31,54,8,12,9,20,3,5,74,35,3,0.0
낙성대동,66,228,19,12,14,25,24,5,37,55,6,0.0
난곡동,9,49,10,21,15,22,15,3,22,44,4,0.0
난향동,6,17,4,13,5,6,2,2,19,16,6,0.0
남가좌1동,12,64,4,8,9,13,5,2,29,22,2,0.0
남가좌2동,69,118,23,21,14,22,20,12,81,54,9,0.0
남영동,77,220,29,14,9,24,20,14,19,21,4,0.0
남현동,28,112,21,8,9,19,19,7,21,31,10,0.0
내곡동,26,53,12,10,4,12,3,4,32,8,5,0.0
노량진1동,61,141,33,19,10,16,22,17,67,39,13,0.0
노량진2동,24,119,14,16,11,8,13,2,19,25,4,0.0
녹번동,48,114,30,22,12,24,22,7,65,57,15,0.0
논현1동,162,406,59,24,45,129,37,30,56,130,29,0.0
논현2동,179,466,58,20,36,84,18,48,52,108,26,0.0
능동,30,59,23,6,7,10,21,7,16,21,6,0.0
다산동,36,90,14,19,9,21,19,5,18,20,4,0.0
답십리1동,32,74,19,10,13,25,14,10,73,32,10,0.0
답십리2동,24,86,21,27,17,28,22,11,26,53,5,0.0
당산1동,109,303,34,28,12,26,34,19,37,71,7,0.0
당산2동,83,173,36,14,21,52,20,28,106,58,14,0.0
대림1동,20,81,12,26,14,13,16,1,13,42,8,0.0
대림2동,25,192,21,37,17,17,56,1,11,67,4,0.0
대림3동,32,157,28,31,10,20,76,5,30,50,7,0.0
대방동,46,78,28,22,15,34,18,15,131,43,8,0.0
대조동,66,215,29,26,26,62,27,10,55,82,11,0.0
대치1동,22,44,16,12,18,63,4,9,286,32,3,0.0
대치2동,112,231,48,20,16,42,12,21,307,56,11,0.0
대치4동,115,321,51,25,21,64,33,35,777,84,17,0.0
대학동,69,157,35,25,11,14,38,13,56,57,25,0.0
대흥동,76,130,29,14,22,42,10,10,106,48,10,0.0
도곡1동,44,105,25,6,17,42,5,11,78,43,5,0.0
도곡2동,57,102,16,8,12,27,12,12,52,26,7,0.0
도림동,26,71,18,23,5,9,16,9,23,41,6,0.0
도봉1동,40,157,19,31,8,12,39,4,14,48,7,0.0
도봉2동,31,98,13,17,6,8,6,11,27,38,7,0.0
도화동,49,201,20,11,13,38,21,8,49,41,7,0.0
독산1동,75,206,49,38,16,25,36,15,47,64,20,0.0
독산2동,28,81,15,17,7,13,16,6,20,49,8,0.0
독산3동,29,162,19,43,16,20,35,4,22,63,8,0.0
독산4동,18,101,16,19,2,4,31,2,20,37,6,0.0
돈암1동,6,15,6,4,3,5,2,2,98,6,3,0.0
돈암2동,10,13,5,6,3,3,0,3,38,11,2,0.0
동선동,127,231,30,22,16,43,38,15,91,96,11,0.0
동화동,21,48,10,7,4,9,9,4,14,23,3,0.0
둔촌1동,11,13,6,5,11,13,0,0,23,10,2,0.0
둔촌2동,38,82,22,12,15,17,14,13,58,60,9,0.0
등촌1동,68,136,30,15,15,30,19,14,36,46,18,0.0
등촌2동,19,38,14,10,6,11,6,5,25,29,5,0.0
등촌3동,58,151,29,27,25,41,27,20,114,54,10,0.0
