"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 광진구 중곡동","3*","8m미만","24.12","전세","202604","28","9,000","0","2003","긴고랑로","202605~202805","신규","-","","","단독다가구"
"2","서울특별시 용산구 원효로3가","2**","8m미만","63.31","월세","202604","28","2,500","70","1992","원효로","202605~202805","갱신","-","2,500","59","단독다가구"
"3","서울특별시 강남구 청담동","1*","8m미만","29.00","월세","202604","28","15,000","25","1998","도산대로68길","202605~202805","신규","-","","","단독다가구"
"4","서울특별시 성동구 행당동","*","8m미만","16.00","월세","202604","28","4,000","42","1992","마조로5길","202604~202802","신규","-","","","단독다가구"
"5","서울특별시 중구 황학동","6**","8m미만","16.00","월세","202604","28","500","35","1970","퇴계로87길","202604~202707","갱신","-","500","30","단독다가구"
"6","서울특별시 성동구 용답동","1*","8m미만","30.00","월세","202604","28","1,000","70","1991","용답중앙23길","202605~202805","신규","-","","","단독다가구"
"7","서울특별시 종로구 창신동","5**","8m미만","10.00","월세","202604","28","100","32","1985","창신6길","202604~202804","신규","-","","","단독다가구"
"8","서울특별시 성동구 용답동","5*","8m미만","49.88","월세","202604","28","17,000","35","1990","용답중앙15길","202605~202705","신규","-","","","단독다가구"
"9","서울특별시 강남구 논현동","1**","8m미만","29.32","월세","202604","28","1,000","66","2002","논현로115길","202604~202704","신규","-","","","단독다가구"
"10","서울특별시 광진구 중곡동","2**","8m미만","35.00","월세","202604","28","500","45","1991","긴고랑로6길","202605~202805","신규","-","","","단독다가구"
"11","서울특별시 용산구 원효로1가","2*","8m미만","12.25","월세","202604","28","500","40","1964","원효로77길","202605~202705","신규","-","","","단독다가구"
"12","서울특별시 광진구 구의동","6**","8m미만","71.50","월세","202604","28","10,000","150","1998","자양로37가길","202606~202806","신규","-","","","단독다가구"
"13","서울특별시 광진구 중곡동","1**","25m이상","75.52","전세","202604","28","30,000","0","1989","능동로","202604~202804","갱신","-","26,000","0","단독다가구"
"14","서울특별시 광진구 구의동","2**","8m미만","52.87","월세","202604","28","8,000","70","1995","자양로26길","202607~202807","신규","-","","","단독다가구"
"15","서울특별시 성북구 동선동3가","9*","12m미만","19.00","월세","202604","28","500","45","1994","동소문로26라길","202605~202805","신규","-","","","단독다가구"
"16","서울특별시 동대문구 청량리동","4*","8m미만","49.50","전세","202604","28","10,000","0","1995","왕산로45길","202605~202805","신규","-","","","단독다가구"
"17","서울특별시 중랑구 면목동","5**","8m미만","23.00","월세","202604","28","5,000","50","2011","면목로65길","202606~202806","신규","-","","","단독다가구"
"18","서울특별시 동대문구 이문동","1**","8m미만","112.04","월세","202604","28","1,000","55","1995","신이문로18길","202605~202805","신규","-","","","단독다가구"
"19","서울특별시 중랑구 망우동","4**","8m미만","37.80","전세","202604","28","15,000","0","2014","용마공원로9길","202605~202805","신규","-","","","단독다가구"
"20","서울특별시 중랑구 상봉동","1**","8m미만","38.69","월세","202604","28","7,000","30","1977","면목로92가길","202604~202804","신규","-","","","단독다가구"
"21","서울특별시 광진구 군자동","3**","8m미만","20.00","월세","202604","28","3,000","30","","광나루로19길","202605~202804","갱신","-","2,000","30","단독다가구"
"22","서울특별시 성북구 동선동2가","1**","8m미만","37.00","월세","202604","28","2,000","105","1991","동소문로22길","202604~202804","신규","-","","","단독다가구"
"23","서울특별시 금천구 독산동","1***","8m미만","21.00","월세","202604","28","500","40","2002","시흥대로84길","202605~202804","신규","-","","","단독다가구"
"24","서울특별시 양천구 목동","1**","8m미만","23.17","월세","202604","28","1,000","55","2010","목동중앙로13길","202604~202704","신규","-","","","단독다가구"
"25","서울특별시 강서구 방화동","2**","8m미만","32.10","월세","202604","28","3,000","15","1991","방화대로35길","202605~202805","신규","-","","","단독다가구"
"26","서울특별시 금천구 시흥동","8**","8m미만","19.13","월세","202604","28","200","37","1990","시흥대로74가길","202604~202804","신규","-","","","단독다가구"
"27","서울특별시 영등포구 영등포동7가","6*","8m미만","54.36","월세","202604","28","2,000","95","1991","국회대로44길","202604~202804","신규","-","","","단독다가구"
"28","서울특별시 영등포구 영등포동","6**","8m미만","31.82","전세","202604","28","9,000","0","1992","영신로9바길","202605~202805","갱신","-","8,000","0","단독다가구"
"29","서울특별시 양천구 목동","7**","8m미만","45.00","월세","202604","28","2,000","70","1992","목동중앙남로1길","202605~202805","신규","-","","","단독다가구"
"30","서울특별시 마포구 연남동","5**","8m미만","84.98","전세","202604","28","37,000","0","1996","동교로27길","202606~203006","신규","-","","","단독다가구"
"31","서울특별시 마포구 연남동","2**","25m미만","30.00","전세","202604","28","8,400","0","1996","성미산로32길","202606~202806","신규","-","","","단독다가구"
"32","서울특별시 양천구 목동","6**","12m미만","26.00","전세","202604","28","12,000","0","1999","목동중앙북로8길","-","-","-","","","단독다가구"
"33","서울특별시 양천구 신월동","1**","8m미만","68.71","월세","202604","28","4,800","20","1990","월정로33길","202604~202804","신규","-","","","단독다가구"
"34","서울특별시 동작구 노량진동","2**","8m미만","164.38","전세","202604","28","5,500","0","1991","장승배기로27나길","202605~202609","신규","-","","","단독다가구"
"35","서울특별시 구로구 가리봉동","1**","8m미만","16.00","월세","202604","28","1,000","65","2019","남부순환로105가길","202604~202704","신규","-","","","단독다가구"
"36","서울특별시 강서구 염창동","2**","12m미만","29.72","월세","202604","28","1,000","87","2019","공항대로65가길","202604~202804","신규","-","","","단독다가구"
"37","서울특별시 영등포구 대림동","9**","12m미만","26.40","전세","202604","28","7,000","0","1976","도림천로21길","202604~202804","신규","-","","","단독다가구"
"38","서울특별시 영등포구 대림동","1***","8m미만","22.00","월세","202604","28","300","33","1991","대림로23가길","202604~202712","신규","-","","","단독다가구"
"39","서울특별시 금천구 독산동","1***","8m미만","34.00","전세","202604","28","13,000","0","2016","시흥대로96길","202604~202804","신규","-","","","단독다가구"
"40","서울특별시 마포구 성산동","6**","8m미만","55.00","월세","202604","28","2,000","80","1991","잔다리로","202604~202804","갱신","-","2,000","70","단독다가구"
"41","서울특별시 서초구 반포동","7**","8m미만","14.45","월세","202604","28","1,000","55","1978","주흥5길","202604~202804","신규","-","","","단독다가구"
"42","서울특별시 관악구 봉천동","2*","8m미만","16.00","월세","202604","28","300","30","1969","관악로24나길","202604~202804","신규","-","","","단독다가구"
"43","서울특별시 관악구 신림동","4**","8m미만","41.00","월세","202604","28","2,000","50","1988","남부순환로163다길","202604~202804","갱신","-","3,000","50","단독다가구"
"44","서울특별시 관악구 신림동","1**","8m미만","10.00","월세","202604","28","500","60","1991","복은4길","202604~202804","신규","-","","","단독다가구"
"45","서울특별시 서초구 양재동","3**","8m미만","44.00","전세","202604","28","21,000","0","1995","동산로6길","202604~202804","갱신","사용","20,000","0","단독다가구"
"46","서울특별시 관악구 신림동","5**","8m미만","16.45","월세","202604","28","2,000","65","2019","조원로14길","202604~202804","신규","-","","","단독다가구"
"47","서울특별시 도봉구 창동","5**","25m이상","65.00","월세","202604","28","6,000","30","2008","덕릉로","202605~202804","갱신","-","6,000","20","단독다가구"
"48","서울특별시 은평구 신사동","2*","8m미만","45.74","월세","202604","28","20,000","12","2010","증산로21가길","202607~202807","신규","-","","","단독다가구"
"49","서울특별시 은평구 신사동","2*","8m미만","36.96","월세","202604","28","6,000","17","1995","은평로2길","202605~202805","갱신","-","6,000","15","단독다가구"
"50","서울특별시 마포구 망원동","3**","8m미만","74.04","전세","202604","28","33,000","0","1998","월드컵로11길","202606~202806","신규","-","","","단독다가구"
"51","서울특별시 은평구 녹번동","1**","8m미만","45.50","전세","202604","28","15,000","0","1995","녹번로3가길","202604~202804","신규","-","","","단독다가구"
"52","서울특별시 은평구 대조동","*","8m미만","50.00","월세","202604","28","2,000","58","1998","통일로67길","202605~202805","갱신","사용","2,000","55","단독다가구"
"53","서울특별시 강북구 미아동","7**","8m미만","28.22","월세","202604","28","200","30","1995","삼양로68가길","202605~202804","신규","-","","","단독다가구"
"54","서울특별시 서대문구 홍은동","5*","8m미만","27.00","전세","202604","28","8,470","0","","세검정로1길","202604~202804","갱신","사용","8,070","0","단독다가구"
"55","서울특별시 도봉구 쌍문동","4**","8m미만","85.06","월세","202604","28","3,000","130","1976","시루봉로1길","202606~202805","신규","-","","","단독다가구"
"56","서울특별시 서대문구 남가좌동","*","8m미만","16.50","월세","202604","28","1,000","55","2018","명지대길","202605~202705","신규","-","","","단독다가구"
"57","서울특별시 강북구 번동","2**","8m미만","47.00","전세","202604","28","13,000","0","1997","한천로109길","202606~202806","신규","-","","","단독다가구"
