"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","40.2900","202604","28","18,984","28","13","2025","황물로 150","202604~202806","신규","-","",""
"2","서울특별시 중구 황학동","1229","1229","0000","힐스테이트 청계 센트럴","월세","34.8500","202604","28","20,000","90","11","2024","마장로 95","202606~202806","신규","-","",""
"3","서울특별시 강남구 역삼동","832-16","0832","0016","BIEL 106","전세","28.8700","202604","28","28,640","0","5","2018","역삼로 106","202605~202805","갱신","-","27,280","0"
"4","서울특별시 광진구 화양동","21-20","0021","0020","광진캠퍼스시티","월세","16.0800","202604","28","1,000","78","5","2017","동일로 178","202606~202806","신규","-","",""
"5","서울특별시 동대문구 휘경동","258","0258","0000","리브인","전세","29.9500","202604","28","25,800","0","6","2022","망우로21길 26","202606~202806","신규","-","",""
"6","서울특별시 성동구 성수동2가","299-134","0299","0134","(299-134)","월세","39.7800","202604","28","27,500","5","6","2017","성수일로12가길 20","202605~202805","갱신","사용","27,500","0"
"7","서울특별시 성동구 성수동2가","299-140","0299","0140","성수 더힐 센트럴파크뷰","월세","23.3300","202604","28","300","130","12","2022","성수일로12가길 6","202604~202607","신규","-","",""
"8","서울특별시 강서구 등촌동","78-7","0078","0007","길훈엔트런스빌","월세","27.2900","202604","28","4,000","55","10","2004","양천로 492","202606~202706","신규","-","",""
"9","서울특별시 강남구 역삼동","719-24","0719","0024","역삼역센트럴푸르지오시티","월세","17.5700","202604","28","1,000","92","16","2019","언주로85길 32","202604~202704","신규","-","",""
"10","서울특별시 강서구 화곡동","105-378","0105","0378","화곡투웨니퍼스트","월세","28.4500","202604","28","2,000","90","4","2018","까치산로 11","202606~202806","신규","-","",""
"11","서울특별시 강서구 등촌동","828","0828","0000","(115-6)","월세","13.9200","202604","28","10,000","20","2","2020","강서로74길 52","202606~202806","신규","-","",""
"12","서울특별시 성동구 용답동","229-4","0229","0004","MC타워","월세","43.5300","202604","28","3,000","180","12","2025","천호대로 388","202604~202704","신규","-","",""
"13","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,424","44","13","2025","황물로 150","202604~202806","신규","-","",""
"14","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","30,784","43","5","2025","황물로 150","202604~202806","신규","-","",""
"15","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,104","44","9","2025","황물로 150","202604~202806","신규","-","",""
"16","서울특별시 노원구 상계동","1267","1267","0000","토마토파르코","월세","70.1600","202604","28","2,000","120","14","2005","동일로 1700","202606~202706","신규","-","",""
