"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 용산구 청파동3가","134-15","0134","0015","더클래스용산G","전세","29.9800","202604","28","32,000","0","5","2026","원효로89길 18-15","202605~202805","신규","-","","","연립다세대"
"2","서울특별시 성동구 금호동3가","1265-47","1265","0047","(1265-47)","월세","36.0100","202604","28","3,000","55","-1","1995","금호산6길 4","202606~202806","신규","-","","","연립다세대"
"3","서울특별시 광진구 능동","239-42","0239","0042","로뎀하우스","전세","14.7800","202604","28","9,000","0","4","2009","천호대로116길 30","202606~202806","신규","-","","","연립다세대"
"4","서울특별시 동대문구 휘경동","43-181","0043","0181","3동","전세","66.1500","202604","28","25,000","0","1","1982","한천로51길 21","202605~202805","신규","-","","","연립다세대"
"5","서울특별시 성동구 사근동","291-21","0291","0021","파크뷰","전세","28.9700","202604","28","24,000","0","2","2018","사근동11나길 8","202605~202805","갱신","사용","23,000","0","연립다세대"
"6","서울특별시 중구 장충동2가","193-172","0193","0172","주신빌라","월세","43.4000","202604","28","19,000","20","2","1997","동호로25가길 56","202605~202805","신규","-","","","연립다세대"
"7","서울특별시 광진구 중곡동","177-37","0177","0037","중곡해피리움","전세","28.5700","202604","28","22,000","0","2","2019","동일로80길 14","202605~202805","갱신","-","21,000","0","연립다세대"
"8","서울특별시 중랑구 상봉동","84-15","0084","0015","어반카운티(84-15)","월세","29.6000","202604","28","20,500","16","6","2018","봉우재로49길 18","202606~202806","갱신","-","20,500","12","연립다세대"
"9","서울특별시 용산구 후암동","438-40","0438","0040","로얄파크빌B","월세","60.3500","202604","28","3,000","150","3","2007","후암로48길 30","202605~202805","신규","-","","","연립다세대"
"10","서울특별시 강남구 논현동","222-8","0222","0008","해피빌","월세","36.0000","202604","28","21,000","29","3","2008","논현로120길 16-3","202605~202805","갱신","사용","21,000","25","연립다세대"
"11","서울특별시 중랑구 망우동","506-15","0506","0015","망우동YMS캐슬","전세","16.6000","202604","28","18,300","0","7","2020","상봉로26길 5","202606~202806","신규","-","","","연립다세대"
"12","서울특별시 용산구 용산동2가","41-25","0041","0025","(41-25)","전세","14.7300","202604","28","13,000","0","3","2025","신흥로3나길 26-1","202604~202804","신규","-","","","연립다세대"
"13","서울특별시 중랑구 중화동","140-1","0140","0001","신흥","전세","92.1000","202604","28","9,000","0","3","1982","봉화산로24길 9-3","202604~202804","갱신","-","9,000","0","연립다세대"
"14","서울특별시 강남구 대치동","954-2","0954","0002","(954-2)","월세","43.8600","202604","28","10,000","120","3","2002","역삼로87길 25","202607~202807","신규","-","","","연립다세대"
"15","서울특별시 광진구 중곡동","177-37","0177","0037","중곡해피리움","전세","28.1800","202604","28","24,000","0","2","2019","동일로80길 14","202605~202805","갱신","사용","23,000","0","연립다세대"
