시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 성동구 금호동3가,1331,두산,전세,79.08,"50,000",0,동호로 100,아파트
서울특별시 성동구 옥수동,528,옥수파크힐스101동~116동,월세,59.88,"70,000",80,매봉길 50,아파트
서울특별시 강남구 삼성동,37,호산프라자,전세,28.8,"22,000",0,선릉로 604,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,33.9588,"13,533",62,원효로97길 15,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,33.9588,"9,685",66,원효로97길 15,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,43.9656,"17,344",79,원효로97길 15,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,33.9588,"13,533",62,원효로97길 15,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,33.9588,"13,533",62,원효로97길 15,아파트
서울특별시 강남구 세곡동,516,세곡리엔파크(3단지),전세,84.96,"57,018",0,헌릉로590길 11,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,33.9588,"13,533",62,원효로97길 15,아파트
서울특별시 강남구 압구정동,490,한양1차(영동한양),월세,63.87,"5,000",205,압구정로 321,아파트
서울특별시 강남구 개포동,654,현대2,월세,84.81,"80,000",38,언주로 107,아파트
서울특별시 용산구 원효로1가,134,용산원효루미니,월세,33.9588,"13,533",62,원효로97길 15,아파트
서울특별시 강남구 압구정동,369-1,"현대2차(10,11,20,23,24,25동)",전세,196.84,"171,600",0,압구정로29길 71,아파트
서울특별시 용산구 보광동,151,리버빌(삼성),월세,59.7,"5,000",170,보광로5길 40,아파트
서울특별시 강남구 역삼동,653-4,원에디션강남,월세,38.1534,"50,000",75,언주로 563,아파트
서울특별시 강남구 논현동,79-5,삼성빌라트,전세,120.98,"58,100",0,학동로31길 29,아파트
서울특별시 종로구 효제동,126-2,이지마루종로,월세,19.31,"2,000",120,김상옥로 55,아파트
