시군구,번지,전월세구분,계약면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 광진구 중곡동,3*,전세,24.12,"9,000",0,긴고랑로,단독다가구
서울특별시 용산구 원효로3가,2**,월세,63.31,"2,500",70,원효로,단독다가구
서울특별시 강남구 청담동,1*,월세,29.0,"15,000",25,도산대로68길,단독다가구
서울특별시 성동구 행당동,*,월세,16.0,"4,000",42,마조로5길,단독다가구
서울특별시 중구 황학동,6**,월세,16.0,500,35,퇴계로87길,단독다가구
서울특별시 성동구 용답동,1*,월세,30.0,"1,000",70,용답중앙23길,단독다가구
서울특별시 종로구 창신동,5**,월세,10.0,100,32,창신6길,단독다가구
서울특별시 성동구 용답동,5*,월세,49.88,"17,000",35,용답중앙15길,단독다가구
서울특별시 강남구 논현동,1**,월세,29.32,"1,000",66,논현로115길,단독다가구
서울특별시 광진구 중곡동,2**,월세,35.0,500,45,긴고랑로6길,단독다가구
서울특별시 용산구 원효로1가,2*,월세,12.25,500,40,원효로77길,단독다가구
서울특별시 광진구 구의동,6**,월세,71.5,"10,000",150,자양로37가길,단독다가구
서울특별시 광진구 중곡동,1**,전세,75.52,"30,000",0,능동로,단독다가구
서울특별시 광진구 구의동,2**,월세,52.87,"8,000",70,자양로26길,단독다가구
서울특별시 성북구 동선동3가,9*,월세,19.0,500,45,동소문로26라길,단독다가구
서울특별시 동대문구 청량리동,4*,전세,49.5,"10,000",0,왕산로45길,단독다가구
서울특별시 중랑구 면목동,5**,월세,23.0,"5,000",50,면목로65길,단독다가구
서울특별시 동대문구 이문동,1**,월세,112.04,"1,000",55,신이문로18길,단독다가구
서울특별시 중랑구 망우동,4**,전세,37.8,"15,000",0,용마공원로9길,단독다가구
서울특별시 중랑구 상봉동,1**,월세,38.69,"7,000",30,면목로92가길,단독다가구
서울특별시 광진구 군자동,3**,월세,20.0,"3,000",30,광나루로19길,단독다가구
서울특별시 성북구 동선동2가,1**,월세,37.0,"2,000",105,동소문로22길,단독다가구
서울특별시 금천구 독산동,1***,월세,21.0,500,40,시흥대로84길,단독다가구
서울특별시 양천구 목동,1**,월세,23.17,"1,000",55,목동중앙로13길,단독다가구
서울특별시 강서구 방화동,2**,월세,32.1,"3,000",15,방화대로35길,단독다가구
서울특별시 금천구 시흥동,8**,월세,19.13,200,37,시흥대로74가길,단독다가구
서울특별시 영등포구 영등포동7가,6*,월세,54.36,"2,000",95,국회대로44길,단독다가구
서울특별시 영등포구 영등포동,6**,전세,31.82,"9,000",0,영신로9바길,단독다가구
서울특별시 양천구 목동,7**,월세,45.0,"2,000",70,목동중앙남로1길,단독다가구
서울특별시 마포구 연남동,5**,전세,84.98,"37,000",0,동교로27길,단독다가구
서울특별시 마포구 연남동,2**,전세,30.0,"8,400",0,성미산로32길,단독다가구
서울특별시 양천구 목동,6**,전세,26.0,"12,000",0,목동중앙북로8길,단독다가구
서울특별시 양천구 신월동,1**,월세,68.71,"4,800",20,월정로33길,단독다가구
서울특별시 동작구 노량진동,2**,전세,164.38,"5,500",0,장승배기로27나길,단독다가구
서울특별시 구로구 가리봉동,1**,월세,16.0,"1,000",65,남부순환로105가길,단독다가구
서울특별시 강서구 염창동,2**,월세,29.72,"1,000",87,공항대로65가길,단독다가구
서울특별시 영등포구 대림동,9**,전세,26.4,"7,000",0,도림천로21길,단독다가구
서울특별시 영등포구 대림동,1***,월세,22.0,300,33,대림로23가길,단독다가구
서울특별시 금천구 독산동,1***,전세,34.0,"13,000",0,시흥대로96길,단독다가구
서울특별시 마포구 성산동,6**,월세,55.0,"2,000",80,잔다리로,단독다가구
서울특별시 서초구 반포동,7**,월세,14.45,"1,000",55,주흥5길,단독다가구
서울특별시 관악구 봉천동,2*,월세,16.0,300,30,관악로24나길,단독다가구
서울특별시 관악구 신림동,4**,월세,41.0,"2,000",50,남부순환로163다길,단독다가구
서울특별시 관악구 신림동,1**,월세,10.0,500,60,복은4길,단독다가구
서울특별시 서초구 양재동,3**,전세,44.0,"21,000",0,동산로6길,단독다가구
서울특별시 관악구 신림동,5**,월세,16.45,"2,000",65,조원로14길,단독다가구
서울특별시 도봉구 창동,5**,월세,65.0,"6,000",30,덕릉로,단독다가구
서울특별시 은평구 신사동,2*,월세,45.74,"20,000",12,증산로21가길,단독다가구
서울특별시 은평구 신사동,2*,월세,36.96,"6,000",17,은평로2길,단독다가구
서울특별시 마포구 망원동,3**,전세,74.04,"33,000",0,월드컵로11길,단독다가구
