시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,40.29,"18,984",28,황물로 150,오피스텔
서울특별시 중구 황학동,1229,힐스테이트 청계 센트럴,월세,34.85,"20,000",90,마장로 95,오피스텔
서울특별시 강남구 역삼동,832-16,BIEL 106,전세,28.87,"28,640",0,역삼로 106,오피스텔
서울특별시 광진구 화양동,21-20,광진캠퍼스시티,월세,16.08,"1,000",78,동일로 178,오피스텔
서울특별시 동대문구 휘경동,258,리브인,전세,29.95,"25,800",0,망우로21길 26,오피스텔
서울특별시 성동구 성수동2가,299-134,(299-134),월세,39.78,"27,500",5,성수일로12가길 20,오피스텔
서울특별시 성동구 성수동2가,299-140,성수 더힐 센트럴파크뷰,월세,23.33,300,130,성수일로12가길 6,오피스텔
서울특별시 강서구 등촌동,78-7,길훈엔트런스빌,월세,27.29,"4,000",55,양천로 492,오피스텔
서울특별시 강남구 역삼동,719-24,역삼역센트럴푸르지오시티,월세,17.57,"1,000",92,언주로85길 32,오피스텔
서울특별시 강서구 화곡동,105-378,화곡투웨니퍼스트,월세,28.45,"2,000",90,까치산로 11,오피스텔
서울특별시 강서구 등촌동,828,(115-6),월세,13.92,"10,000",20,강서로74길 52,오피스텔
서울특별시 성동구 용답동,229-4,MC타워,월세,43.53,"3,000",180,천호대로 388,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,424",44,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"30,784",43,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,104",44,황물로 150,오피스텔
서울특별시 노원구 상계동,1267,토마토파르코,월세,70.16,"2,000",120,동일로 1700,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"30,464",43,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"27,216",39,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,104",44,황물로 150,오피스텔
서울특별시 서대문구 홍제동,158-11,제니스,월세,27.2,"1,000",90,통일로35길 14-4,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,424",44,황물로 150,오피스텔
서울특별시 동대문구 답십리동,497-9,젠트리움,월세,17.26,"5,000",70,천호대로 249,오피스텔
서울특별시 동대문구 장안동,365-9,케이타워,월세,22.68,"1,000",80,장한로 98,오피스텔
서울특별시 중랑구 상봉동,107-31,동일캐슬,월세,19.86,"17,560",3,면목로90길 9,오피스텔
서울특별시 동대문구 전농동,602-23,스테이 하이 오피스텔,월세,33.47,"2,000",175,왕산로 258,오피스텔
서울특별시 동대문구 전농동,100-1,다스하우스,월세,14.28,"1,000",55,왕산로 294,오피스텔
서울특별시 은평구 응암동,121-52,거성리젠시,월세,46.7,"17,000",19,응암로29길 15-12,오피스텔
서울특별시 강남구 청담동,130-9,현대 오피스텔,월세,23.37,200,100,영동대로 738,오피스텔
서울특별시 도봉구 창동,630-10,창동 북한산드림시티 2차,전세,28.05,"23,000",0,도봉로110라길 70-4,오피스텔
서울특별시 동대문구 용두동,788,한방천하-용두동 포스빌,월세,39.02,"1,000",75,왕산로 122,오피스텔
서울특별시 도봉구 창동,630-10,창동 북한산드림시티 2차,전세,28.05,"23,000",0,도봉로110라길 70-4,오피스텔
서울특별시 중랑구 상봉동,108-5,(108-5),월세,23.55,"18,000",28,면목로 465-3,오피스텔
서울특별시 마포구 성산동,232-1,엔트라움마포,전세,33.93,"36,000",0,동교로19길 102,오피스텔
서울특별시 은평구 역촌동,39-36,해드림하우스,전세,62.49,"33,000",0,진흥로1길 13-13,오피스텔
서울특별시 강남구 자곡동,596,강남 더샵라르고,월세,20.71,"14,800",10,자곡로 201,오피스텔
서울특별시 중랑구 망우동,506-15,망우동 YMS 캐슬,전세,18.6,"19,000",0,상봉로26길 5,오피스텔
서울특별시 중랑구 망우동,506-15,망우동 YMS 캐슬,전세,20.67,"18,900",0,상봉로26길 5,오피스텔
서울특별시 강남구 역삼동,832-3,강남역 쉐르빌,월세,27.74,"11,000",70,강남대로 328,오피스텔
서울특별시 중랑구 망우동,584,신내역 프라디움 더 테라스,전세,84.94,"45,150",0,용마산로 670,오피스텔
서울특별시 동대문구 장안동,295-1,두리빌딩,전세,25.42,"12,900",0,장한로27길 29,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,40.29,"20,992",30,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,424",44,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"27,496",40,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"30,784",43,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,104",44,황물로 150,오피스텔
서울특별시 동대문구 답십리동,530-14,답십리 530-14 오피스텔,월세,55.93,"31,424",44,황물로 150,오피스텔
서울특별시 관악구 봉천동,861-6,Q타워,월세,19.01,500,72,남부순환로 1817,오피스텔
서울특별시 금천구 가산동,233-5,가산센트럴 푸르지오시티,월세,17.62,"11,700",10,디지털로10길 69,오피스텔
서울특별시 영등포구 영등포동7가,104-5,여의도 웨스턴 힐 오피스텔,전세,17.38,"21,000",0,국회대로52길 3,오피스텔
서울특별시 관악구 신림동,1423-13,DH TOWER,전세,19.9,"18,000",0,남부순환로181길 33,오피스텔
서울특별시 강동구 천호동,169-12,성우스타팰리스,월세,42.2,"20,000",50,성안로25길 21,오피스텔
서울특별시 영등포구 영등포동2가,94-126,(94-126),월세,18.48,"14,000",15,국회대로56길 35,오피스텔
서울특별시 강서구 마곡동,758-1,마곡럭스나인오피스텔 엘동,월세,21.87,"1,100",67,마곡서로 168,오피스텔
서울특별시 영등포구 당산동1가,94-2,당산어반스테이,전세,29.49,"31,500",0,영신로39길 5-1,오피스텔
서울특별시 구로구 구로동,651-2,퀸즈파크 구일,월세,17.36,"1,000",65,구일로 130,오피스텔
서울특별시 영등포구 영등포동3가,4-1,여의도 포레스트 시티,월세,18.56,"1,000",67,영등포로 234,오피스텔
서울특별시 강동구 길동,413-24,(413-24),월세,18.76,"11,250",26,천호대로177길 48-11,오피스텔
서울특별시 송파구 방이동,41-8,잠실 벨솔레 오피스텔,월세,29.33,"13,000",65,올림픽로34길 5-13,오피스텔
서울특별시 송파구 문정동,622,송파한화오벨리스크,월세,26.82,"1,000",95,충민로 5,오피스텔
서울특별시 송파구 문정동,620,송파푸르지오시티,전세,30.0,"20,700",0,새말로 62,오피스텔
서울특별시 구로구 구로동,651-2,퀸즈파크 구일,월세,17.36,"1,000",65,구일로 130,오피스텔
서울특별시 관악구 신림동,1423-13,DH TOWER,월세,21.61,"5,000",60,남부순환로181길 33,오피스텔
서울특별시 강동구 명일동,47-2,고덕역 갑을명가시티 오피스텔,전세,26.02,"19,800",0,동남로75길 27,오피스텔
서울특별시 영등포구 영등포동3가,4-1,여의도 포레스트 시티,월세,25.65,"2,000",93,영등포로 234,오피스텔
서울특별시 영등포구 영등포동3가,1-9,소담더블린,전세,23.31,"18,000",0,영등포로 264,오피스텔
서울특별시 영등포구 당산동,121-127,오피스텔저절로,월세,20.73,"16,460",4,버드나루로17길 12,오피스텔
서울특별시 영등포구 도림동,229-2,도림동  디에이원파크,전세,58.03,"45,150",0,도신로15다길 32,오피스텔
서울특별시 영등포구 도림동,229-2,도림동  디에이원파크,전세,29.47,"31,500",0,도신로15다길 32,오피스텔
서울특별시 구로구 오류동,46-2,아크로펠리스,월세,18.0,500,50,경인로20나길 36,오피스텔
서울특별시 강동구 길동,413-21,SM 엘루이 주상복합,월세,40.19,"3,000",148,천호대로177길 48-5,오피스텔
서울특별시 강동구 길동,457-4,거산 유팰리스,전세,16.56,"16,500",0,천호대로 1131,오피스텔
서울특별시 송파구 송파동,58-14,(58-14),전세,36.99,"34,608",0,백제고분로45길 38-9,오피스텔
서울특별시 영등포구 양평동2가,37-3,오목교투웨니퍼스트,전세,28.63,"26,500",0,선유서로25길 19,오피스텔
서울특별시 영등포구 양평동6가,94,선유도역 더블파크 투웨니퍼스트,월세,28.42,"27,000",20,양평로30길 38,오피스텔
