시군구,번지,건물명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 용산구 청파동3가,134-15,더클래스용산G,전세,29.98,"32,000",0,원효로89길 18-15,연립다세대
서울특별시 성동구 금호동3가,1265-47,(1265-47),월세,36.01,"3,000",55,금호산6길 4,연립다세대
서울특별시 광진구 능동,239-42,로뎀하우스,전세,14.78,"9,000",0,천호대로116길 30,연립다세대
서울특별시 동대문구 휘경동,43-181,3동,전세,66.15,"25,000",0,한천로51길 21,연립다세대
서울특별시 성동구 사근동,291-21,파크뷰,전세,28.97,"24,000",0,사근동11나길 8,연립다세대
서울특별시 중구 장충동2가,193-172,주신빌라,월세,43.4,"19,000",20,동호로25가길 56,연립다세대
서울특별시 광진구 중곡동,177-37,중곡해피리움,전세,28.57,"22,000",0,동일로80길 14,연립다세대
서울특별시 중랑구 상봉동,84-15,어반카운티(84-15),월세,29.6,"20,500",16,봉우재로49길 18,연립다세대
서울특별시 용산구 후암동,438-40,로얄파크빌B,월세,60.35,"3,000",150,후암로48길 30,연립다세대
서울특별시 강남구 논현동,222-8,해피빌,월세,36.0,"21,000",29,논현로120길 16-3,연립다세대
서울특별시 중랑구 망우동,506-15,망우동YMS캐슬,전세,16.6,"18,300",0,상봉로26길 5,연립다세대
서울특별시 용산구 용산동2가,41-25,(41-25),전세,14.73,"13,000",0,신흥로3나길 26-1,연립다세대
서울특별시 중랑구 중화동,140-1,신흥,전세,92.1,"9,000",0,봉화산로24길 9-3,연립다세대
서울특별시 강남구 대치동,954-2,(954-2),월세,43.86,"10,000",120,역삼로87길 25,연립다세대
서울특별시 광진구 중곡동,177-37,중곡해피리움,전세,28.18,"24,000",0,동일로80길 14,연립다세대
서울특별시 성동구 금호동1가,134,(134-0),전세,24.64,"5,000",0,행당로5길 13-24,연립다세대
서울특별시 광진구 중곡동,220-87,은주빌라,월세,32.62,"16,000",10,능동로51길 25-20,연립다세대
서울특별시 성동구 금호동3가,111-1,삼성빌21차,전세,85.0,"40,000",0,무수막3길 13,연립다세대
서울특별시 강남구 역삼동,792-75,코지하우스,월세,27.86,"5,000",40,논현로67길 24-2,연립다세대
서울특별시 종로구 혜화동,22-88,뉴파인빌2(22-88),전세,27.96,"25,000",0,혜화로6길 48,연립다세대
서울특별시 광진구 구의동,239-48,한울타운,전세,26.38,"25,200",0,자양로28길 73-10,연립다세대
서울특별시 광진구 구의동,29-16,이화빌리지(29-16),월세,53.37,"10,000",70,자양로51길 13,연립다세대
서울특별시 용산구 효창동,5-24,에이스빌(5-24),전세,67.19,"40,000",0,효창원로72길 12,연립다세대
서울특별시 종로구 창신동,627-4,동문빌라,전세,57.84,"12,000",0,창신길 135-4,연립다세대
서울특별시 강남구 신사동,557-15,남서울빌라,전세,46.36,"26,200",0,논현로155길 23,연립다세대
서울특별시 은평구 불광동,448-35,(448-35),전세,28.91,"16,700",0,연서로41가길 26-3,연립다세대
서울특별시 마포구 망원동,417-27,행복타운A동,월세,49.38,60,25,망원로4길 16-12,연립다세대
서울특별시 양천구 목동,324-91,오렌지힐,월세,28.75,"2,000",85,목동중앙남로16마길 10,연립다세대
서울특별시 강북구 미아동,791-339,제이스타빌(791-339),월세,50.96,"5,000",90,삼양로64길 11,연립다세대
서울특별시 마포구 합정동,364-11,이에세스빌,전세,24.12,"13,500",0,성지1길 33,연립다세대
서울특별시 양천구 목동,602-6,드림팰리스2,전세,19.6,"17,000",0,목동중앙북로 33-11,연립다세대
서울특별시 양천구 신월동,925-9,라이프(A동),월세,40.12,"5,000",30,지양로16길 24,연립다세대
서울특별시 양천구 신월동,410-26,"휴먼파크타운(103동,104동)",전세,29.33,"13,700",0,남부순환로 497,연립다세대
서울특별시 은평구 녹번동,133-14,라임하우스(133-14),전세,48.73,"30,000",0,녹번로3가길 14,연립다세대
